Name,Quantity,Unit,Category,Expiry Date
Organic Bananas,50,kg,Produce,2026-07-20
Whole Milk 1L,30,units,Dairy,2026-07-18
Sourdough Bread,15,units,Bakery,2026-07-16
Fresh Chicken Breast,20,kg,Meat,2026-07-17
Greek Yogurt,25,units,Dairy,2026-07-22
Mixed Salad Leaves,10,kg,Produce,2026-07-15
Atlantic Salmon,12,kg,Meat,2026-07-16
Cheddar Cheese,8,kg,Dairy,2026-07-25
Croissants,40,units,Bakery,2026-07-15
Free Range Eggs,60,units,Dairy,2026-07-28
Broccoli,18,kg,Produce,2026-07-19
White Rice 5kg,10,units,Other,2026-09-01
Tomato Soup,24,units,Cooked Food,2026-08-15
Orange Juice 1L,20,units,Dairy,2026-07-21
Beef Mince 500g,14,units,Meat,2026-07-17
